gene_id,symbol,entrez,log2FoldChange,padj,baseMean,lfcSE,pvalue
ENSG00000130222,GADD45G,10912,-0.2685103927387991,0.0950923572242579,12.610973112017628,0.4702076937193034,0.01707325045255843
ENSG00000135452,TSPAN31,6302,0.28434873698663116,0.0950923572242579,424.4084815074454,0.13801270553249684,0.01707699179268044
ENSG00000131797,NA,NA,-0.3996985304378636,0.09516232196035028,59.379129690012675,0.2279663687346219,0.01709976233325001
ENSG00000197457,STMN3,50861,-0.44462805728348886,0.09517568061416956,412.94087780011864,0.27873339360444116,0.01710733113401581
ENSG00000236166,NA,NA,-0.22743025486205112,0.09531838444352964,4.430598987896927,0.4074033083311685,0.01713815752878233
ENSG00000247853,NA,NA,0.5058384710054978,0.0954391165991897,10.077653374186054,0.8761483205696843,0.01716504774241196
ENSG00000133247,KMT5C,84787,-0.36908459496744406,0.09551281285679,68.79155678320375,0.20149384939682913,0.017193862319862
ENSG00000136100,VPS36,51028,0.2434205456803392,0.09551281285679,801.9897073233526,0.1131028353140452,0.01719207866852395
ENSG00000214106,NA,NA,-0.40432909032508674,0.09551281285679,89.06806903886891,0.23459768664061345,0.01718878035557619
ENSG00000241549,NA,NA,-0.43864023571929855,0.09560611070491506,74.71559988208529,0.270181109719663,0.01721584920431704
ENSG00000034693,PEX3,8504,-0.3262254784860167,0.0956799765577149,267.259148020561,0.16727827987330837,0.01723833821188741
ENSG00000084636,COL16A1,1307,-0.4049042548980959,0.0956799765577149,3032.375246059471,0.2355197047437111,0.0172447375615018
ENSG00000089248,ERP29,10961,-0.17448717911901795,0.0956799765577149,2009.9458267736743,0.07697707449420411,0.01724411063543011
ENSG00000166532,RIMKLB,57494,-0.2490446242679316,0.09571595895299614,725.1910490297385,0.11678274633857692,0.01725642051175385
ENSG00000215493,NA,NA,-0.5388174040957356,0.09575140761904252,32.61608681182942,0.4275180259519211,0.01726801111609232
ENSG00000149923,PPP4C,5531,0.1999897514880368,0.09580128869485466,1075.3342119499218,0.08977568997963901,0.01728220912540359
ENSG00000128000,ZNF780B,163131,-0.3210971217248288,0.09580690904424782,253.7241255074532,0.16350747543715027,0.01728842567222566
ENSG00000181523,SGSH,6448,-0.17935184476024965,0.09586277436294184,1344.8738503174918,0.07947863574059907,0.01730891798842148
ENSG00000182568,SATB1,6304,-0.3039195923831339,0.09586277436294184,811.5525613519732,0.15165178789951528,0.01730511174644101
