gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000105835,2640.3421403842312,1.0140174686833927,0.15774049004497118,1.0315800898059563e-11,9.404231363255784e-10
ENSG00000164294,3549.4015094644706,-0.5257417556061676,0.08022328422438153,1.0923958641359317e-11,9.909591053233094e-10
ENSG00000172465,395.2795548545929,0.997556178058114,0.1559572960462071,1.2373705391985817e-11,1.1169695333010726e-9
ENSG00000119714,54.81222501152306,-2.7712151159511342,0.4364699120700481,1.2545577371062325e-11,1.1269600355517692e-9
ENSG00000143786,77.77589163318673,-1.4513151950608993,0.22820851546848991,1.2932574540140793e-11,1.1560842726053044e-9
ENSG00000172403,8014.796364832759,1.6403277146683928,0.2612252920132987,1.5358192704533738e-11,1.3662855973622648e-9
ENSG00000137801,90563.36142255683,1.8896818432373672,0.29698159330042234,1.5677903677611057e-11,1.3880220972269597e-9
ENSG00000171793,688.1407667477619,1.4756860645770093,0.2341097916147307,1.7536776240497802e-11,1.5451661936304642e-9
ENSG00000124702,1044.9699590913115,0.5862626155120707,0.0908473422900227,1.783659221007673e-11,1.5566864717941375e-9
ENSG00000197860,524.4983568910532,0.7657426557403878,0.1197672251811924,1.782714418251525e-11,1.5566864717941375e-9
ENSG00000162643,89.06494330453711,-1.5153492500444221,0.24017841836712125,1.7992217029509172e-11,1.5628616820679782e-9
ENSG00000174437,10584.25287112247,1.325532311431336,0.21013611796695814,1.8379338942741157e-11,1.5889930827726687e-9
ENSG00000214814,243.2732770907113,-3.012703609783462,0.482572304106752,1.9613587016483668e-11,1.687776658451153e-9
ENSG00000145244,167.0137555288536,1.8688710251877083,0.2982558515809159,1.9962619359913103e-11,1.7098215605246502e-9
ENSG00000205978,1601.0358442682818,-1.1120321567714067,0.17629223773686342,2.0125266619212382e-11,1.7157721518185001e-9
ENSG00000138074,435.94359447085657,1.1607013662833252,0.18422945907549154,2.1406748864557977e-11,1.816614195119056e-9
ENSG00000114270,1546.9077779324768,1.1775011837046399,0.18768868884755133,2.545073094109576e-11,2.1498862856893506e-9
ENSG00000126016,386.41244258161606,-2.1904674934437227,0.35255066808142743,2.5931804377110483e-11,2.172070480692557e-9
ENSG00000178723,34.492848134587696,3.4465379657930537,0.5539073401792761,2.5949253638466607e-11,2.172070480692557e-9
ENSG00000009413,7584.974888437588,1.0743749950291792,0.17143827959769098,2.86825942380982e-11,2.389999877351033e-9
ENSG00000168917,238.12217482723327,0.7763389071487009,0.12338627099558967,3.37129625581141e-11,2.7965054302147344e-9
ENSG00000084090,3609.4902746889334,1.21432016121926,0.19539075732203717,3.396518435658304e-11,2.804793138683752e-9
ENSG00000140807,96.22044747520516,2.3938398785185035,0.38882541784614505,3.570849171821732e-11,2.9355887276382675e-9
ENSG00000182552,978.4053435299152,1.0778999713077686,0.17324560346119675,3.66371504796872e-11,2.99854722703751e-9
ENSG00000148848,1365.1639746634548,-1.7480069600481127,0.2834551606638474,3.709305251861652e-11,3.022427266063377e-9
ENSG00000089041,96.75596293333422,-1.8303186595363548,0.2963257809143664,4.029374377116288e-11,3.2687633988809004e-9
ENSG00000119508,216.67436940458845,2.0230360376338505,0.3293739778062806,4.268640092884838e-11,3.4476757592313287e-9
ENSG00000114450,1067.7647685240336,0.8947359819993893,0.14377730819946505,4.457771572339243e-11,3.5847101967086097e-9
ENSG00000114670,184.34156892145282,-1.2006529826735033,0.1945203576346649,4.640421290812344e-11,3.715363394361274e-9
ENSG00000131242,31.709086769361903,-2.0994257155762854,0.3425908864808754,4.790656318538659e-11,3.819044853068805e-9
ENSG00000136997,743.8178150523233,0.8141423619607614,0.13078963590559112,4.9979881983749864e-11,3.9501267241663244e-9
ENSG00000168610,7845.886057297894,0.6006140449383853,0.09546626774587676,4.982925600555761e-11,3.9501267241663244e-9
ENSG00000148120,743.9996823185376,1.0534251780013293,0.1705644448124565,5.0601548094862456e-11,3.9821688383200515e-9
ENSG00000197321,8190.09038691972,-0.4948010028130417,0.07815867040398707,5.096290065970903e-11,3.993539641057624e-9
ENSG00000143494,18.96073976662097,-3.7550997546558773,0.6007388832720599,5.209144124576305e-11,4.064677502291214e-9
